2026-05-02 12:03:01,817 | INFO | Starting Stage 11 image generation run: run_20260502_120301_a62f0abd
2026-05-02 12:03:01,817 | INFO | Image mode: online
2026-05-02 12:03:01,817 | INFO | Image output dir: /Users/jing/Desktop/some_code/GenAI_Coding/Homework2/Homework2/AI_Geopolitical_Risk_Workflow_Homework_Delivery/3-Final_LinkedIn_Content/images
2026-05-02 12:03:01,817 | INFO | Archive root: /Users/jing/Desktop/some_code/GenAI_Coding/Homework2/Homework2/AI_Geopolitical_Risk_Workflow_Homework_Delivery/3-Final_LinkedIn_Content/archive
2026-05-02 12:03:01,817 | INFO | Sanitized image config: {"provider": "minimax", "model": "image-01", "available": true, "reason": "online image generation configuration is available", "endpoint_configured": true, "api_key_configured": true, "aspect_ratio": "16:9", "response_format": "base64", "force_offline": false, "fallback_on_error": false}
2026-05-02 12:03:02,253 | WARNING | Image API call failed: category=AI关键矿产供应链与地缘政治 attempt=1/2 error=Image API response did not contain base64 image bytes or a downloadable image URL. response_summary={"root_keys": ["base_resp", "data", "id"], "data_keys": [], "base_resp": {"status_code": 2061, "status_msg": "your current token plan not support model, image-01"}, "metadata": {}}
2026-05-02 12:03:04,689 | WARNING | Image API call failed: category=AI关键矿产供应链与地缘政治 attempt=2/2 error=Image API response did not contain base64 image bytes or a downloadable image URL. response_summary={"root_keys": ["base_resp", "data", "id"], "data_keys": [], "base_resp": {"status_code": 2061, "status_msg": "your current token plan not support model, image-01"}, "metadata": {}}
2026-05-02 12:03:04,689 | ERROR | Failed image/archive generation for AI关键矿产供应链与地缘政治: Image API response did not contain base64 image bytes or a downloadable image URL. response_summary={"root_keys": ["base_resp", "data", "id"], "data_keys": [], "base_resp": {"status_code": 2061, "status_msg": "your current token plan not support model, image-01"}, "metadata": {}}
2026-05-02 12:03:04,690 | INFO | Completed Stage 11 image generation. items=1 images=0 archives=0 fallback=0 errors=1
