daily_run_id,run_date,workflow_run_id,primary_category,lineage_mode,source_mode_counts,source_content_id,source_news_ids,source_titles,candidate_post_path,image_path,archive_dir,review_status,review_priority,factual_validation_status,factual_validation_summary,factual_validation_details,prompt_version,model_provider,image_status
daily_20260502_211518_56f7b546,2026-05-02,run_20260502_211518_4f5ac986,AI关键矿产供应链与地缘政治,local_sample_baseline,"{""local_sample_baseline"": 1}",2,"[""2""]","[""Copper supply concentration creates cost risk for AI infrastructure buildout""]",result/full_online_all/2026-05-02/candidates/category_2_ai_critical_minerals_supply_chain_candidate.md,result/full_online_all/2026-05-02/assets/category_2_ai_critical_minerals_supply_chain_run_20260502_211721_8f9c3f87.jpg,/Users/jing/Desktop/some_code/GenAI_Coding/Homework2/Homework2/AI_Geopolitical_Risk_Workflow_Homework_Delivery/3-Final_LinkedIn_Content/archive/2026-05-02/category_2_ai_critical_minerals_supply_chain,pending_review,P1,passed,Passed Stage 14 evidence guard.,"{""status"": ""passed"", ""unsupported_numbers"": [], ""unsupported_named_entities"": [], ""unsupported_source_names"": [], ""unsupported_country_or_region_terms"": [], ""evidence_news_ids"": [2], ""evidence_titles"": [""Copper supply concentration creates cost risk for AI infrastructure buildout""], ""checked_claim_types"": [""numbers"", ""named_entities"", ""source_names"", ""countries_or_regions"", ""known_hashtag_typo""]}",linkedin_content_generation_v3_stage14_grounded_llm,deepseek:deepseek-v4-flash,generated
daily_20260502_211518_56f7b546,2026-05-02,run_20260502_211518_4f5ac986,AI算力基础设施地缘风险,local_sample_baseline,"{""local_sample_baseline"": 1}",1,"[""1""]","[""AI data center expansion raises electricity demand and grid planning risk""]",result/full_online_all/2026-05-02/candidates/category_1_ai_infrastructure_risk_candidate.md,result/full_online_all/2026-05-02/assets/category_1_ai_infrastructure_risk_run_20260502_211721_8f9c3f87.jpg,/Users/jing/Desktop/some_code/GenAI_Coding/Homework2/Homework2/AI_Geopolitical_Risk_Workflow_Homework_Delivery/3-Final_LinkedIn_Content/archive/2026-05-02/category_1_ai_infrastructure_risk,pending_review,P1,passed,Passed Stage 14 evidence guard.,"{""status"": ""passed"", ""unsupported_numbers"": [], ""unsupported_named_entities"": [], ""unsupported_source_names"": [], ""unsupported_country_or_region_terms"": [], ""evidence_news_ids"": [1], ""evidence_titles"": [""AI data center expansion raises electricity demand and grid planning risk""], ""checked_claim_types"": [""numbers"", ""named_entities"", ""source_names"", ""countries_or_regions"", ""known_hashtag_typo""]}",linkedin_content_generation_v3_stage14_grounded_llm,deepseek:deepseek-v4-flash,generated
